School, Date Set 1, KWH, Therms,Date Set 2,KWH #2,Therms #2,Date Set 3,Kwh #3,Therms #3,KWH TO CO2,Therms to CO2,,KWH CO2,Therm CO2,,Total Carbon Emissions
Homestead, 9/26/2019,165246,0, 9/20/2019,0,3960, 9/22/2019,0,0,0.39,5.49,,64445.94,21740.4,,86186.34
Homestead, 8/27/2019,124917,0, 8/21/2019,0,4178, 8/30/2019,0,1,0.39,5.49,,48717.63,22942.71,,71660.34
Homestead, 7/28/2019,78524,0, 7/22/2019,0,4495, 7/31/2019,0,56,0.39,5.49,,30624.36,24984.99,,55609.35
Homestead, 6/26/2019,58887,0, 6/20/2019,0,4641, 7/1/2019,0,195,0.39,5.49,,22965.93,26549.64,,49515.57
Homestead, 5/28/2019,83587,0, 5/21/2019,0,7286, 5/31/2019,0,391,0.39,5.49,,32598.93,42146.73,,74745.66
Homestead, 4/28/2019,79664,0, 4/22/2019,0,10778, 5/1/2019,0,277,0.39,5.49,,31068.96,60691.95,,91760.91
Homestead, 3/27/2019,105372,0, 3/21/2019,0,14879, 4/1/2019,0,406,0.39,5.49,,41095.08,83914.65,,125009.73
Homestead, 2/26/2019,129613,0, 2/20/2019,0,18555, 3/1/2019,0,672,0.39,5.49,,50549.07,105556.23,,156105.3
Homestead, 1/27/2019,135394,0, 1/18/2019,0,14433, 1/30/2019,0,591,0.39,5.49,,52803.66,82481.76,,135285.42
Homestead, 12/26/2018,139774,0, 12/19/2018,0,10712, 12/31/2018,0,673,0.39,5.49,,54511.86,62503.65,,117015.51
Homestead, 11/27/2018,152747,0, 11/19/2018,0,8733, 11/30/2018,0,413,0.39,5.49,,59571.33,50211.54,,109782.87
,,,,,,,,,,,,,,,SUM:,4718222.7
