School, Date, KWH, Therms,Date Set 2,KWH,Therms,Date Set 3,Kwh,Therms,,KWH Co2,Therm CO2,Total
Cupertino, 3/27/2019,124152,0, 3/22/2019,0,9970, 3/5/2019,6982,0,,51142.26,54735.3,105877.56
Cupertino, 2/26/2019,128038,0, 2/21/2019,0,10775, 2/3/2019,8282,0,,53164.8,59154.75,112319.55
Cupertino, 1/27/2019,134562,0, 1/22/2019,0,6167, 1/3/2019,6212,0,,54901.86,33856.83,88758.69
Cupertino, 12/26/2018,133951,0, 12/20/2018,0,5704, 12/3/2018,5984,0,,54574.65,31314.96,85889.61
Cupertino, 11/27/2018,150171,0, 11/20/2018,0,5683, 11/1/2018,8145,0,,61743.24,31199.67,92942.91
,,,,,,,,,,,,Total: ,4582816.08
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
OMISSION: ,Cupertino, 7/4/2023,5173,,,,,,,,,,
