School, Date, KWH, Therms
Homestead, 9/21/2021, 0.0, 6.0
Homestead, 8/20/2021, 0.0, 4.0
Homestead, 7/21/2021, 0.0, 7.0
Homestead, 6/21/2021, 0.0, 79.0
Homestead, 5/20/2021, 0.0, 140.0
Homestead, 4/21/2021, 0.0, 228.0
Homestead, 3/22/2021, 0.0, 429.0
Homestead, 2/19/2021, 0.0, 536.0
Homestead, 1/20/2021, 0.0, 342.0
Homestead, 12/18/2020, 0.0, 314.0
Homestead, 11/18/2020, 0.0, 130.0
Homestead, 10/20/2020, 0.0, 26.0
Homestead, 9/18/2020, 0.0, 22.0
Homestead, 8/19/2020, 0.0, 182.0
Homestead, 7/20/2020, 0.0, 174.0
Homestead, 6/19/2020, 0.0, 12.0
Homestead, 5/20/2020, 0.0, 11.0
Homestead, 4/21/2020, 0.0, 280.0
Homestead, 3/20/2020, 0.0, 274.0
Homestead, 2/20/2020, 0.0, 716.0
Homestead, 1/21/2020, 0.0, 1016.0
Homestead, 12/19/2019, 0.0, 558.0
Homestead, 11/19/2019, 0.0, 153.0
Homestead, 10/21/2019, 0.0, 19.0
Homestead, 9/22/2019, 0.0, 0.0
Homestead, 8/30/2019, 0.0, 1.0
Homestead, 7/31/2019, 0.0, 56.0
Homestead, 7/1/2019, 0.0, 195.0
Homestead, 5/31/2019, 0.0, 391.0
Homestead, 5/1/2019, 0.0, 277.0
Homestead, 4/1/2019, 0.0, 406.0
Homestead, 3/1/2019, 0.0, 672.0
Homestead, 1/30/2019, 0.0, 591.0
Homestead, 12/31/2018, 0.0, 673.0
Homestead, 11/30/2018, 0.0, 413.0
