School, Date, KWH, Therms
Cupertino, 4/3/2022, 5586.0, 0.0
Cupertino, 3/3/2022, 8436.0, 0.0
Cupertino, 2/1/2022, 9986.0, 0.0
Cupertino, 1/2/2022, 7401.0, 0.0
Cupertino, 12/3/2021, 10274.0, 0.0
Cupertino, 11/2/2021, 8333.0, 0.0
Cupertino, 10/4/2021, 7188.0, 0.0
Cupertino, 9/2/2021, 5273.0, 0.0
Cupertino, 8/4/2021, 3033.0, 0.0
Cupertino, 7/5/2021, 3429.0, 0.0
Cupertino, 6/3/2021, 6341.0, 0.0
Cupertino, 5/4/2021, 5420.0, 0.0
Cupertino, 4/4/2021, 6073.0, 0.0
Cupertino, 3/4/2021, 3476.0, 0.0
Cupertino, 2/2/2021, 2575.0, 0.0
Cupertino, 1/4/2021, 2422.0, 0.0
Cupertino, 12/3/2020, 5068.0, 0.0
Cupertino, 11/2/2020, 3946.0, 0.0
Cupertino, 10/1/2020, 2727.0, 0.0
Cupertino, 9/1/2020, 2928.0, 0.0
Cupertino, 8/2/2020, 2696.0, 0.0
Cupertino, 7/2/2020, 2387.0, 0.0
Cupertino, 6/3/2020, 2979.0, 0.0
Cupertino, 5/4/2020, 2634.0, 0.0
Cupertino, 4/2/2020, 2381.0, 0.0
Cupertino, 3/4/2020, 8377.0, 0.0
Cupertino, 2/3/2020, 11065.0, 0.0
Cupertino, 1/3/2020, 7635.0, 0.0
Cupertino, 12/4/2019, 11821.0, 0.0
Cupertino, 11/3/2019, 7306.0, 0.0
Cupertino, 10/3/2019, 6421.0, 0.0
Cupertino, 9/4/2019, 5470.0, 0.0
Cupertino, 8/4/2019, 3233.0, 0.0
Cupertino, 7/4/2019, 3586.0, 0.0
Cupertino, 6/4/2019, 3056.0, 0.0
Cupertino, 5/5/2019, 3465.0, 0.0
Cupertino, 4/3/2019, 4054.0, 0.0
Cupertino, 3/5/2019, 6982.0, 0.0
Cupertino, 2/3/2019, 8282.0, 0.0
Cupertino, 1/3/2019, 6212.0, 0.0
Cupertino, 12/3/2018, 5984.0, 0.0
Cupertino, 11/1/2018, 8145.0, 0.0
