School, Date, KWH, Therms
Fremont, 10/26/2021, 0.0, 0.0
Fremont, 9/27/2021, 0.0, 0.0
Fremont, 8/26/2021, 0.0, 0.0
Fremont, 7/27/2021, 0.0, 0.0
Fremont, 6/25/2021, 0.0, 0.0
Fremont, 5/26/2021, 0.0, 0.0
Fremont, 4/27/2021, 0.0, 0.0
Fremont, 3/26/2021, 0.0, 0.0
Fremont, 2/25/2021, 0.0, 0.0
Fremont, 1/26/2021, 0.0, 0.0
Fremont, 12/24/2020, 0.0, 0.0
Fremont, 11/26/2020, 0.0, 0.0
Fremont, 10/26/2020, 0.0, 0.0
Fremont, 9/24/2020, 0.0, 0.0
Fremont, 8/25/2020, 0.0, 0.0
Fremont, 7/24/2020, 0.0, 0.0
Fremont, 6/21/2020, 0.0, 0.0
Fremont, 5/27/2020, 0.0, 0.0
Fremont, 4/26/2020, 0.0, 0.0
Fremont, 3/25/2020, 0.0, 0.0
Fremont, 2/25/2020, 0.0, 0.0
Fremont, 1/27/2020, 0.0, 0.0
Fremont, 12/22/2019, 0.0, 0.0
Fremont, 11/25/2019, 0.0, 0.0
Fremont, 10/25/2019, 0.0, 0.0
Fremont, 9/26/2019, 0.0, 0.0
Fremont, 8/27/2019, 0.0, 0.0
Fremont, 7/26/2019, 0.0, 0.0
Fremont, 6/26/2019, 0.0, 0.0
Fremont, 5/28/2019, 0.0, 0.0
Fremont, 4/26/2019, 0.0, 0.0
Fremont, 3/27/2019, 0.0, 1.0
Fremont, 2/26/2019, 0.0, 0.0
Fremont, 1/25/2019, 0.0, 0.0
Fremont, 12/26/2018, 0.0, 0.0
Fremont, 11/27/2018, 0.0, 0.0
Fremont, 6/25/2023, 0.0, 58.0
Fremont, 5/25/2023, 0.0, 166.0
Fremont, 4/26/2023, 0.0, 417.0
Fremont, 3/27/2023, 0.0, 706.0
Fremont, 2/24/2023, 0.0, 785.0
Fremont, 1/25/2023, 0.0, 589.0
Fremont, 12/23/2022, 0.0, 635.0
Fremont, 11/23/2022, 0.0, 408.0
Fremont, 10/25/2022, 0.0, 81.0
Fremont, 9/26/2022, 0.0, 36.0
Fremont, 8/25/2022, 0.0, 21.0
Fremont, 7/25/2022, 0.0, 19.0
Fremont, 6/24/2022, 0.0, 40.0
Fremont, 5/24/2022, 0.0, 191.0
Fremont, 4/26/2022, 0.0, 251.0
Fremont, 3/25/2022, 0.0, 374.0
Fremont, 2/24/2022, 0.0, 461.0
Fremont, 1/25/2022, 0.0, 536.0
Fremont, 12/24/2021, 0.0, 546.0
Fremont, 11/24/2021, 0.0, 253.0
Fremont, 10/29/2021, 0.0, 7.0
Fremont, 9/27/2021, 0.0, 23.0
Fremont, 8/26/2021, 0.0, 1.0
Fremont, 7/27/2021, 0.0, 2.0
Fremont, 6/25/2021, 0.0, 48.0
Fremont, 5/26/2021, 0.0, 160.0
Fremont, 4/27/2021, 0.0, 182.0
Fremont, 3/26/2021, 0.0, 399.0
Fremont, 2/25/2021, 0.0, 413.0
Fremont, 1/26/2021, 0.0, 378.0
Fremont, 12/24/2020, 0.0, 425.0
Fremont, 11/24/2020, 0.0, 263.0
Fremont, 10/26/2020, 0.0, 168.0
Fremont, 9/24/2020, 0.0, 22.0
Fremont, 8/25/2020, 0.0, 2.0
Fremont, 7/24/2020, 0.0, 32.0
Fremont, 6/25/2020, 0.0, 47.0
Fremont, 5/27/2020, 0.0, 166.0
Fremont, 4/27/2020, 0.0, 182.0
Fremont, 3/26/2020, 0.0, 397.0
Fremont, 2/26/2020, 0.0, 523.0
Fremont, 1/27/2020, 0.0, 366.0
Fremont, 12/26/2019, 0.0, 440.0
Fremont, 11/25/2019, 0.0, 281.0
Fremont, 10/25/2019, 0.0, 154.0
Fremont, 9/26/2019, 0.0, 22.0
Fremont, 8/27/2019, 0.0, 33.0
Fremont, 7/26/2019, 0.0, 34.0
Fremont, 6/26/2019, 0.0, 47.0
Fremont, 5/28/2019, 0.0, 175.0
Fremont, 4/26/2019, 0.0, 169.0
Fremont, 3/27/2019, 0.0, 395.0
Fremont, 2/26/2019, 0.0, 554.0
Fremont, 1/25/2019, 0.0, 341.0
Fremont, 12/26/2018, 0.0, 410.0
Fremont, 11/27/2018, 0.0, 300.0
